model,condition,accuracy,pre_hit,post_hit
Haiku,Correct-Correct,0.71,0.53,0.89
Haiku,Correct-Misspelled,0.635,0.55,0.72
Haiku,Misspelled-Correct,0.445,0.42,0.47
Haiku,Misspelled-Misspelled,0.61,0.54,0.68
Sonnet,Correct-Correct,0.62,0.55,0.69
Sonnet,Correct-Misspelled,0.765,0.73,0.8
Sonnet,Misspelled-Correct,0.355,0.25,0.46
Sonnet,Misspelled-Misspelled,0.725,0.64,0.81
Opus,Correct-Correct,0.755,0.7,0.81
Opus,Correct-Misspelled,0.85,0.8,0.9
Opus,Misspelled-Correct,0.64,0.58,0.7
Opus,Misspelled-Misspelled,0.85,0.8,0.9
